English language name                                                            | ISO 639-3 code | ISO 639-2 code | ISO 639-1 code
Akan                                                                             | aka            | aka            | ak            
Akaselem                                                                         | aks            |                |               
Akawaio                                                                          | ake            |                |               
Ake                                                                              | aik            |                |               
Akebu                                                                            | keu            |                |               
Akei                                                                             | tsr            |                |               
Akeu                                                                             | aeu            |                |               
Akha                                                                             | ahk            |                |               
Akhvakh                                                                          | akv            |                |               
Akkadian                                                                         | akk            | akk            |               
Aklanon                                                                          | akl            |                |               
Akolet                                                                           | akt            |                |               
Akoose                                                                           | bss            |                |               
Akoye                                                                            | miw            |                |               
Akpa                                                                             | akf            |                |               
Akpes                                                                            | ibe            |                |               
Akrukay                                                                          | afi            |                |               
Akukem                                                                           | spm            |                |               
Akuku                                                                            | ayk            |                |               
Akum                                                                             | aku            |                |               
Akuntsu                                                                          | aqz            |                |               
Akurio                                                                           | ako            |                |               
Akwa                                                                             | akw            |                |               
Akyaung Ari Naga                                                                 | nqy            |                |               
Al-Sayyid Bedouin Sign Language                                                  | syy            |                |               
Alaba-K’abeena                                                                   | alw            |                |               
Alabama                                                                          | akz            |                |               
Alabat Island Agta                                                               | dul            |                |               
Alacatlatzala Mixtec                                                             | mim            |                |               
Alago                                                                            | ala            |                |               
Alagwa                                                                           | wbj            |                |               
Alak                                                                             | alk            |                |               
Alamblak                                                                         | amp            |                |               
Alangan                                                                          | alj            |                |               
Alawa                                                                            | alh            |                |               
Albanian Sign Language                                                           | sqk            |                |               
Albanian                                                                         | alb            | alb            | sq            
Alcozauca Mixtec                                                                 | xta            |                |               
Alege                                                                            | alf            |                |               
Alekano                                                                          | gah            |                |               
Aleut                                                                            | ale            | ale            |               
Algerian Arabic                                                                  | arq            |                |               
Algerian Saharan Arabic                                                          | aao            |                |               
Algerian Sign Language                                                           | asp            |                |               
Algonquian languages                                                             | alg            | alg            |               
Algonquin                                                                        | alq            |                |               
Ali                                                                              | aiy            |                |               
Alladian                                                                         | ald            |                |               
Allar                                                                            | all            |                |               
Alo Phola                                                                        | ypo            |                |               
Alor                                                                             | aol            |                |               
Aloápam Zapotec                                                                  | zaq            |                |               
Altaic languages                                                                 | tut            | tut            |               
Alu Kurumba                                                                      | xua            |                |               
Alugu                                                                            | aub            |                |               
Alumu-Tesu                                                                       | aab            |                |               
Alune                                                                            | alp            |                |               
Aluo                                                                             | yna            |                |               
Alur                                                                             | alz            |                |               
Alutor                                                                           | alr            |                |               
Alviri-Vidari                                                                    | avd            |                |               
Alyawarr                                                                         | aly            |                |               
Ama (Papua New Guinea)                                                           | amm            |                |               
Ama (Sudan)                                                                      | nyi            |                |               
Amahai                                                                           | amq            |                |               
Amahuaca                                                                         | amc            |                |               
Amaimon                                                                          | ali            |                |               
Amal                                                                             | aad            |                |               
Amanab                                                                           | amn            |                |               
Amara                                                                            | aie            |                |               
Amarakaeri                                                                       | amr            |                |               
Amarasi                                                                          | aaz            |                |               
Amatlán Zapotec                                                                  | zpo            |                |               
Amba (Solomon Islands)                                                           | utp            |                |               
Amba (Uganda)                                                                    | rwm            |                |               
Ambai                                                                            | amk            |                |               
Ambakich                                                                         | aew            |                |               
Ambala Ayta                                                                      | abc            |                |               
Ambelau                                                                          | amv            |                |               
Ambele                                                                           | ael            |                |               
Amblong                                                                          | alm            |                |               
Ambo                                                                             | amb            |                |               
Ambo-Pasco Quechua                                                               | qva            |                |               
Ambonese Malay                                                                   | abs            |                |               
Ambrak                                                                           | aag            |                |               
Ambul                                                                            | apo            |                |               
Ambulas                                                                          | abt            |                |               
Amdang                                                                           | amj            |                |               
Amdo Tibetan                                                                     | adx            |                |               
Amele                                                                            | aey            |                |               
American Sign Language                                                           | ase            |                |               
Amganad Ifugao                                                                   | ifa            |                |               
Amharic                                                                          | amh            | amh            | am            
Ami                                                                              | amy            |                |               
Amis                                                                             | ami            |                |               
Amo                                                                              | amo            |                |               
Amol                                                                             | alx            |                |               
Amoltepec Mixtec                                                                 | mbz            |                |               
Ampanang                                                                         | apg            |                |               
Ampari Dogon                                                                     | aqd            |                |               
Amri Karbi                                                                       | ajz            |                |               
Amto                                                                             | amt            |                |               
Amundava                                                                         | adw            |                |               
Amurdak                                                                          | amg            |                |               
Ana Tinga Dogon                                                                  | dti            |                |               
Anaang                                                                           | anw            |                |               
Anakalangu                                                                       | akg            |                |               
Anal                                                                             | anm            |                |               
Anam                                                                             | pda            |                |               
Anambé                                                                           | aan            |                |               
Anamgura                                                                         | imi            |                |               
Anasi                                                                            | bpo            |                |               
Andaandi                                                                         | dgl            |                |               
Andai                                                                            | afd            |                |               
Andajin                                                                          | ajn            |                |               
Andaman Creole Hindi                                                             | hca            |                |               
Andarum                                                                          | aod            |                |               
Andegerebinha                                                                    | adg            |                |               
Andh                                                                             | anr            |                |               
Andi                                                                             | ani            |                |               
Andio                                                                            | bzb            |                |               
Andoque                                                                          | ano            |                |               
Andra-Hus                                                                        | anx            |                |               
Aneityum                                                                         | aty            |                |               
Anem                                                                             | anz            |                |               
Aneme Wake                                                                       | aby            |                |               
Anfillo                                                                          | myo            |                |               
Angaataha                                                                        | agm            |                |               
Angaité                                                                          | aqt            |                |               
Angal Enen                                                                       | aoe            |                |               
Angal Heneng                                                                     | akh            |                |               
Angal                                                                            | age            |                |               
Angami Naga                                                                      | njm            |                |               
Angguruk Yali                                                                    | yli            |                |               
Angika                                                                           | anp            | anp            |               
Angloromani                                                                      | rme            |                |               
Angolar                                                                          | aoa            |                |               
Angor                                                                            | agg            |                |               
Angoram                                                                          | aog            |                |               
Angosturas Tunebo                                                                | tnd            |                |               
Ani Phowa                                                                        | ypn            |                |               
Anii                                                                             | blo            |                |               
Animere                                                                          | anf            |                |               
Anindilyakwa                                                                     | aoi            |                |               
Anjam                                                                            | boj            |                |               
Ankave                                                                           | aak            |                |               
Anmatyerre                                                                       | amx            |                |               
Anong                                                                            | nun            |                |               
Anor                                                                             | anj            |                |               
Ansus                                                                            | and            |                |               
Antakarinya                                                                      | ant            |                |               
Antankarana Malagasy                                                             | xmv            |                |               
Antigua and Barbuda Creole English                                               | aig            |                |               
Anu-Hkongso Chin                                                                 | anl            |                |               
Anuak                                                                            | anu            |                |               
Anufo                                                                            | cko            |                |               
Anuki                                                                            | aui            |                |               
Anus                                                                             | auq            |                |               
Anuta                                                                            | aud            |                |               
Anyin Morofo                                                                     | mtb            |                |               
Anyin                                                                            | any            |                |               
Ao Naga                                                                          | njo            |                |               
Aoheng                                                                           | pni            |                |               
Ap Ma                                                                            | kbx            |                |               
Apache languages                                                                 | apa            | apa            |               
Apalaí                                                                           | apy            |                |               
Apali                                                                            | ena            |                |               
Apasco-Apoala Mixtec                                                             | mip            |                |               
Apatani                                                                          | apt            |                |               
Apiaká                                                                           | api            |                |               
Apinayé                                                                          | apn            |                |               
Apma                                                                             | app            |                |               
Aproumu Aizi                                                                     | ahp            |                |               
Apurinã                                                                          | apu            |                |               
Aputai                                                                           | apx            |                |               
Arabela                                                                          | arl            |                |               
Arabic                                                                           | ara            | ara            | ar            
Aragonese                                                                        | arg            | arg            | an            
Araki                                                                            | akr            |                |               
Aralle-Tabulahan                                                                 | atq            |                |               
Arammba                                                                          | stk            |                |               
Aranadan                                                                         | aaf            |                |               
Arandai                                                                          | jbj            |                |               
Araona                                                                           | aro            |                |               
Arapaho                                                                          | arp            | arp            |               
Arawak                                                                           | arw            | arw            |               
Araweté                                                                          | awt            |                |               
Arawum                                                                           | awm            |                |               
Arbore                                                                           | arv            |                |               
Arbëreshë Albanian                                                               | aae            |                |               
Archi                                                                            | aqc            |                |               
Are                                                                              | mwc            |                |               
Arem                                                                             | aem            |                |               
Arequipa-La Unión Quechua                                                        | qxu            |                |               
Argentine Sign Language                                                          | aed            |                |               
Argobba                                                                          | agj            |                |               
Arguni                                                                           | agf            |                |               
Arhuaco                                                                          | arh            |                |               
Arhâ                                                                             | aqr            |                |               
Arhö                                                                             | aok            |                |               
Ari                                                                              | aac            |                |               
Aribwaung                                                                        | ylu            |                |               
Arifama-Miniafia                                                                 | aai            |                |               
Arigidi                                                                          | aqg            |                |               
Arikapú                                                                          | ark            |                |               
Arikara                                                                          | ari            |                |               
Aringa                                                                           | luc            |                |               
Armenian Sign Language                                                           | aen            |                |               
Armenian                                                                         | arm            | arm            | hy            
Aromanian; Arumanian; Macedo-Romanian                                            | rup            | rup            |               
Arop-Lokep                                                                       | apr            |                |               
Arop-Sissano                                                                     | aps            |                |               
Arosi                                                                            | aia            |                |               
Arpitan                                                                          | frp            |                |               
Arta                                                                             | atz            |                |               
Artificial languages                                                             | art            | art            |               
Aruamu                                                                           | msy            |                |               
Aruek                                                                            | aur            |                |               
Aruop                                                                            | lsr            |                |               
Arutani                                                                          | atx            |                |               
